name,lat,long,review,cusine,num_rate,cost_one,Location
Potful - Claypot Biryanis,12.97220056,77.65281457,2181,"biryani, kebab, mughlai, north indian, desserts",4.2,250,thippasandra
Kapoor's Cafe,13.01787372,77.64301848,744,"north indian, beverages, desserts",3.9,200,kalyan nagar
Natural Ice Cream,12.97145564,77.60085046,251,"ice cream, beverages",4.5,200,st. marks road
Lassi Shop,13.00337779,77.66071402,0,"beverages, fast food, burger, shake, juices, ice cream, desserts",3.7,200,banaswadi
Biryani Trip - Destination Hyderabad,12.968187,77.650777,14113,"biryani, south indian, mughlai, andhra, desserts, hyderabadi",4.2,200,near jeevan bhima nagar
Madeena Hotel,12.93521603,77.6157328,275,"biryani, kebab, north indian",4,200,koramangala 5th block
Biryani By Kilo,12.93727473,77.6244301,311,"biryani, hyderabadi, north indian, kebab, mughlai, desserts",4.2,200,koramangala 6th block
Anand Sweets And Savouries,12.98164454,77.60982279,2109,"mithai, street food, beverages, desserts",4.3,200,commercial street
Goli Vada Pav,12.98587438,77.6713473,0,"street food, burger, fast food, ice cream",3.6,200,kaggadasapura
WarmOven Cake & Desserts,12.98412032,77.678486,5036,"bakery, desserts, ice cream, shake",3.9,200,kaggadasapura
Nagarjuna,12.97321829,77.60932088,2302,"andhra, biryani, north indian",4.3,200,residency road
Kwality Wall・・s Frozen Dessert and Ice Cream Shop,12.97304219,77.63519347,127,"ice cream, desserts",4.1,200,indiranagar
EasyBites by Empire,12.96728502,77.60896213,414,"burger, fast food, beverages",4.1,200,brigade road
"Frozen Bottle - Milkshakes, Desserts And Ice Cream",12.95911717,77.65690173,159,"beverages, desserts, ice cream, waffle, bakery, healthy food",4.2,250,old airport road
Amma's Pastries,12.97416055,77.63579294,487,bakery,4.3,250,indiranagar
Narmada Chain of Restaurants,13.00058977,77.61420341,0,"andhra, hyderabadi, biryani, north indian, chinese, beverages",New,250,frazer town
Savoury Restaurant,12.9854415,77.67292276,214,"arabian, mughlai, north indian, chinese, fast food, beverages, shake, desserts",4,250,varsova layout kaggadasapura
Royal Restaurant,12.98572802,77.60525431,225,"north indian, chinese, sichuan",3.9,250,shivajinagar
Bakingo,12.92453709,77.63865922,6420,"bakery, desserts",4.3,250,koramangala 1st block
Vijayalakshmi Veg,13.00091788,77.61280071,97,"south indian, chinese, north indian, sichuan",4,250,frazer town
Rolls On Wheels,12.97155203,77.63579931,84,"north indian, rolls, fast food",4,250,indiranagar
The Pizza Bakery - Brew & Eatery,12.975156,77.604557,172,"pizza, pasta, italian, desserts, continental, beverages",4.1,250,church street
Paratha Envy,12.968187,77.650777,7255,north indian,4.2,250,thippasandra
Moriz Nano Restaurant,12.98757029,77.61894934,215,"north indian, chinese, arabian, mughlai, fast food, beverages, shake",3.5,250,ulsoor
Call Me Chow,13.00781371,77.64398575,2617,"chinese, japanese, thai, indonesian, asian",4.2,250,kalyan nagar
The Punjabi Rasoi,12.9554742,77.7129847,3042,"north indian, chinese, mughlai",4.1,200,brookefield
Barbeque Nation,12.97362,77.62117,1654,"street food, mughlai, biryani, north indian, desserts, beverages, bar food",3.9,200,ulsoor
Chulha Chauki Da Dhaba,12.98185429,77.69270372,3278,"north indian, chinese, kebab, mughlai, biryani, desserts, beverages",4.2,200,marathahalli
The Belgian Waffle Co.,12.93421,77.616449,34,"waffle, pancake, desserts, beverages, ice cream",4.3,200,koramangala 7th block
Baskin Robbins,12.95912327,77.65426196,31,"ice cream, desserts",4.1,200,old airport road
Great Indian Khichdi by EatFit,13.008305,77.651848,356,"healthy food, north indian, ice cream, desserts, beverages",3.7,200,basavanagudi
Anjappar,12.97424582,77.60770451,37,"south indian, chettinad, biryani, seafood, chinese, north indian, desserts, beverages",4,200,brigade road
Glen's Bakehouse,12.93788056,77.62640689,310,"bakery, cafe, italian, continental, fast food, beverages, desserts",4.3,200,koramangala 6th block
New Udupi Garden,12.95670573,77.65364137,61,"south indian, north indian, beverages, chinese",3.7,200,old airport road
LunchBox - Meals and Thalis,12.97135763,77.65835401,377,north indian,3.8,200,thippasandra
Biryani Blues,12.974674,77.605851,234,"biryani, kebab, hyderabadi",4.1,200,church street
